GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
seldon-cluster-manager,io.seldon.clustermanager.config,SchedulerConfig,6,0,0,0,2,0,2,0,2,0
seldon-cluster-manager,io.seldon.clustermanager.config,AppConfig,7,0,0,0,2,0,2,0,2,0
seldon-cluster-manager,io.seldon.clustermanager.controller,BuildVersionController,13,0,0,0,2,0,2,0,2,0
seldon-cluster-manager,io.seldon.clustermanager.controller,MainController,9,0,0,0,3,0,3,0,3,0
seldon-cluster-manager,io.seldon.clustermanager.pb,JsonFormat.Parser,57,48,2,0,7,10,5,3,4,3
seldon-cluster-manager,io.seldon.clustermanager.pb,TimeUtils.TimeConverter,29,3,2,0,5,1,3,1,2,1
seldon-cluster-manager,io.seldon.clustermanager.pb,IntOrStringUtils.IntOrStringParser,13,44,2,4,1,12,2,3,0,2
seldon-cluster-manager,io.seldon.clustermanager.pb,QuantityUtils.QuantityConverter,5,27,1,1,1,5,1,3,0,3
seldon-cluster-manager,io.seldon.clustermanager.pb,JsonFormat.ParserImpl,1017,614,123,47,209,144,93,32,15,16
seldon-cluster-manager,io.seldon.clustermanager.pb,JsonFormat.PrinterImpl,609,578,89,45,134,132,64,27,9,10
seldon-cluster-manager,io.seldon.clustermanager.pb,ProtoBufUtils.new TypeToken() {...},3,0,0,0,1,0,1,0,1,0
seldon-cluster-manager,io.seldon.clustermanager.pb,QuantityUtils.QuantityParser,13,25,2,2,1,8,2,2,0,2
seldon-cluster-manager,io.seldon.clustermanager.pb,JsonFormat.PrinterImpl.GsonHolder,0,7,0,0,0,1,0,1,0,1
seldon-cluster-manager,io.seldon.clustermanager.pb,JsonFormat.TypeRegistry,11,8,0,0,2,4,2,2,2,2
seldon-cluster-manager,io.seldon.clustermanager.pb,ProtoBufUtils,67,47,1,3,16,12,4,3,3,2
seldon-cluster-manager,io.seldon.clustermanager.pb,JsonFormat.TypeRegistry.EmptyTypeRegistryHolder,0,7,0,0,0,2,0,1,0,1
seldon-cluster-manager,io.seldon.clustermanager.pb,JsonFormat.TypeRegistry.Builder,145,0,16,0,33,0,14,0,6,0
seldon-cluster-manager,io.seldon.clustermanager.pb,JsonFormat.PrettyTextGenerator,5,97,1,9,1,27,1,9,0,5
seldon-cluster-manager,io.seldon.clustermanager.pb,QuantityUtils,3,0,0,0,1,0,1,0,1,0
seldon-cluster-manager,io.seldon.clustermanager.pb,JsonFormat.ParserImpl.new JsonFormat.ParserImpl.WellKnownTypeParser() {...},5,3,0,0,2,1,1,1,1,1
seldon-cluster-manager,io.seldon.clustermanager.pb,JsonFormat.ParserImpl.new JsonFormat.ParserImpl.WellKnownTypeParser() {...},5,3,0,0,2,1,1,1,1,1
seldon-cluster-manager,io.seldon.clustermanager.pb,JsonFormat.ParserImpl.new JsonFormat.ParserImpl.WellKnownTypeParser() {...},5,3,0,0,2,1,1,1,1,1
seldon-cluster-manager,io.seldon.clustermanager.pb,JsonFormat.ParserImpl.new JsonFormat.ParserImpl.WellKnownTypeParser() {...},5,3,0,0,2,1,1,1,1,1
seldon-cluster-manager,io.seldon.clustermanager.pb,JsonFormat.ParserImpl.new JsonFormat.ParserImpl.WellKnownTypeParser() {...},5,3,0,0,2,1,1,1,1,1
seldon-cluster-manager,io.seldon.clustermanager.pb,JsonFormat.ParserImpl.new JsonFormat.ParserImpl.WellKnownTypeParser() {...},5,3,0,0,2,1,1,1,1,1
seldon-cluster-manager,io.seldon.clustermanager.pb,JsonFormat.ParserImpl.new JsonFormat.ParserImpl.WellKnownTypeParser() {...},5,3,0,0,2,1,1,1,1,1
seldon-cluster-manager,io.seldon.clustermanager.pb,IntOrStringUtils.IntOrStringConverter,5,40,1,3,1,7,1,4,0,3
seldon-cluster-manager,io.seldon.clustermanager.pb,JsonFormat.ParserImpl.new JsonFormat.ParserImpl.WellKnownTypeParser() {...},5,3,0,0,2,1,1,1,1,1
seldon-cluster-manager,io.seldon.clustermanager.pb,JsonFormat.CompactTextGenerator,0,14,0,0,0,7,0,4,0,4
seldon-cluster-manager,io.seldon.clustermanager.pb,JsonFormat.Printer,44,92,2,0,8,17,3,6,2,6
seldon-cluster-manager,io.seldon.clustermanager.pb,TimeUtils.TimeParser,13,14,0,0,2,5,0,2,0,2
seldon-cluster-manager,io.seldon.clustermanager.pb,IntOrStringUtils,3,0,0,0,1,0,1,0,1,0
seldon-cluster-manager,io.seldon.clustermanager.pb,JsonFormat,53,28,6,0,10,3,6,3,3,3
seldon-cluster-manager,io.seldon.clustermanager.pb,JsonFormat.PrinterImpl.new JsonFormat.PrinterImpl.WellKnownTypePrinter() {...},4,3,0,0,2,1,1,1,1,1
seldon-cluster-manager,io.seldon.clustermanager.pb,JsonFormat.PrinterImpl.new JsonFormat.PrinterImpl.WellKnownTypePrinter() {...},4,3,0,0,2,1,1,1,1,1
seldon-cluster-manager,io.seldon.clustermanager.pb,JsonFormat.PrinterImpl.new JsonFormat.PrinterImpl.WellKnownTypePrinter() {...},4,3,0,0,2,1,1,1,1,1
seldon-cluster-manager,io.seldon.clustermanager.pb,JsonFormat.PrinterImpl.new JsonFormat.PrinterImpl.WellKnownTypePrinter() {...},4,3,0,0,2,1,1,1,1,1
seldon-cluster-manager,io.seldon.clustermanager.pb,JsonFormat.PrinterImpl.new JsonFormat.PrinterImpl.WellKnownTypePrinter() {...},4,3,0,0,2,1,1,1,1,1
seldon-cluster-manager,io.seldon.clustermanager.pb,JsonFormat.PrinterImpl.new JsonFormat.PrinterImpl.WellKnownTypePrinter() {...},4,3,0,0,2,1,1,1,1,1
seldon-cluster-manager,io.seldon.clustermanager.pb,JsonFormat.PrinterImpl.new JsonFormat.PrinterImpl.WellKnownTypePrinter() {...},4,3,0,0,2,1,1,1,1,1
seldon-cluster-manager,io.seldon.clustermanager.pb,JsonFormat.PrinterImpl.new JsonFormat.PrinterImpl.WellKnownTypePrinter() {...},4,3,0,0,2,1,1,1,1,1
seldon-cluster-manager,io.seldon.clustermanager.pb,TimeUtils,3,0,0,0,1,0,1,0,1,0
seldon-cluster-manager,io.seldon.clustermanager,Application,8,0,0,0,3,0,2,0,2,0
seldon-cluster-manager,io.seldon.clustermanager,ClusterManagerProperites,16,66,0,0,7,26,4,16,4,16
seldon-cluster-manager,io.seldon.clustermanager.k8s.client,K8sDefaultClientProvider,10,0,0,0,3,0,3,0,3,0
seldon-cluster-manager,io.seldon.clustermanager.k8s.client,K8sDefaultApiProvider,18,0,0,0,4,0,4,0,4,0
seldon-cluster-manager,io.seldon.clustermanager.k8s,DeploymentWatcher.new TypeToken() {...},6,0,0,0,1,0,1,0,1,0
seldon-cluster-manager,io.seldon.clustermanager.k8s,DeploymentWatcher.new TypeToken() {...},0,6,0,0,0,1,0,1,0,1
seldon-cluster-manager,io.seldon.clustermanager.k8s,SeldonDeploymentControllerImpl,722,325,45,13,105,69,33,8,6,6
seldon-cluster-manager,io.seldon.clustermanager.k8s,KubeCRDHandlerImpl,139,272,8,4,39,54,7,7,1,7
seldon-cluster-manager,io.seldon.clustermanager.k8s,SeldonDeploymentCacheImpl.CacheKey,57,37,20,2,18,9,12,2,1,2
seldon-cluster-manager,io.seldon.clustermanager.k8s,SeldonDeploymentUtils,7,95,1,3,2,21,2,7,1,6
seldon-cluster-manager,io.seldon.clustermanager.k8s,SeldonDeploymentStatusUpdateImpl,107,262,16,24,18,58,14,13,0,7
seldon-cluster-manager,io.seldon.clustermanager.k8s,SeldonDeploymentCacheImpl.new Callable() {...},30,0,2,0,5,0,3,0,2,0
seldon-cluster-manager,io.seldon.clustermanager.k8s,SeldonDeploymentOperatorImpl.DeploymentResources,0,9,0,0,0,4,0,1,0,1
seldon-cluster-manager,io.seldon.clustermanager.k8s,SeldonNameCreator,22,184,2,8,2,26,2,11,0,8
seldon-cluster-manager,io.seldon.clustermanager.k8s,CRDCreator.new Interceptor() {...},26,0,0,0,4,0,2,0,2,0
seldon-cluster-manager,io.seldon.clustermanager.k8s,CRDCreator.new TypeToken() {...},6,0,0,0,1,0,1,0,1,0
seldon-cluster-manager,io.seldon.clustermanager.k8s,CRDCreator,234,5,12,0,51,1,14,1,8,1
seldon-cluster-manager,io.seldon.clustermanager.k8s,SeldonDeploymentWatcher,107,361,13,21,21,77,12,13,1,6
seldon-cluster-manager,io.seldon.clustermanager.k8s,SeldonDeploymentOperatorImpl,262,2067,53,144,39,413,49,73,1,22
seldon-cluster-manager,io.seldon.clustermanager.k8s,SeldonDeploymentCacheImpl,31,38,0,0,5,9,2,3,2,3
seldon-cluster-manager,io.seldon.clustermanager.k8s,DeploymentWatcher,125,361,17,24,18,54,16,9,1,3
seldon-cluster-manager,io.seldon.clustermanager.k8s,SeldonDeploymentWatcher.new TypeToken() {...},0,6,0,0,0,1,0,1,0,1
seldon-cluster-manager,io.seldon.clustermanager.k8s,Constants,3,0,0,0,1,0,1,0,1,0
seldon-cluster-manager,io.seldon.clustermanager.k8s,SeldonDeploymentWatcher.new TypeToken() {...},0,6,0,0,0,1,0,1,0,1
seldon-cluster-manager,io.seldon.clustermanager.k8s,SeldonDeploymentException,19,4,0,0,8,2,4,1,4,1
