"Date","RSI"
"2014 JAN",86.0
"2014 FEB",86.4
"2014 MAR",87.5
"2014 APR",87.2
"2014 MAY",87.3
"2014 JUN",88.0
"2014 JUL",87.8
"2014 AUG",87.7
"2014 SEP",87.0
"2014 OCT",87.4
"2014 NOV",87.8
"2014 DEC",89.0
"2015 JAN",87.2
"2015 FEB",87.7
"2015 MAR",88.0
"2015 APR",88.5
"2015 MAY",88.5
"2015 JUN",88.9
"2015 JUL",88.7
"2015 AUG",87.6
"2015 SEP",89.2
"2015 OCT",87.9
"2015 NOV",88.4
"2015 DEC",88.3
"2016 JAN",89.8
"2016 FEB",89.1
"2016 MAR",88.8
"2016 APR",89.4
"2016 MAY",90.7
"2016 JUN",90.0
"2016 JUL",91.7
"2016 AUG",91.3
"2016 SEP",92.1
"2016 OCT",93.9
"2016 NOV",93.6
"2016 DEC",93.2
"2017 JAN",93.2
"2017 FEB",94.3
"2017 MAR",94.0
"2017 APR",95.5
"2017 MAY",94.4
"2017 JUN",94.7
"2017 JUL",95.1
"2017 AUG",96.1
"2017 SEP",96.4
"2017 OCT",96.8
"2017 NOV",97.7
"2017 DEC",97.7
"2018 JAN",97.8
"2018 FEB",98.4
"2018 MAR",97.0
"2018 APR",98.2
"2018 MAY",100.4
"2018 JUN",100.0
"2018 JUL",100.7
"2018 AUG",101.4
"2018 SEP",101.0
"2018 OCT",100.7
"2018 NOV",102.5
"2018 DEC",101.9
"2019 JAN",102.5
"2019 FEB",103.1
"2019 MAR",104.2
"2019 APR",103.4
"2019 MAY",103.2
"2019 JUN",104.4
"2019 JUL",105.1
"2019 AUG",104.5
"2019 SEP",104.0
"2019 OCT",104.0
"2019 NOV",103.4
"2019 DEC",103.1
"2020 JAN",104.5
"2020 FEB",103.6
"2020 MAR",97.4
"2020 APR",79.4