https://github.com/googleapis/google-cloud-go/blob/master/LICENSE,Apache License 2.0
https://github.com/ghodss/yaml/blob/master/LICENSE,MIT License
https://github.com/go-openapi/spec/blob/master/LICENSE,Apache License 2.0
https://github.com/gogo/protobuf/blob/master/LICENSE,BSD 3-Clause "New" or "Revised" License
https://github.com/gophercloud/gophercloud/blob/master/LICENSE,Apache License 2.0
https://github.com/hpcloud/tail/blob/master/LICENSE.txt,MIT License
https://github.com/inconshreveable/mousetrap/blob/master/LICENSE,Apache License 2.0
https://github.com/pmezard/go-difflib/blob/master/LICENSE,BSD 3-Clause "New" or "Revised" License
https://github.com/uber-go/zap/blob/master/LICENSE.txt,MIT License
https://github.com/golang/crypto/blob/master/LICENSE,BSD 3-Clause "New" or "Revised" License
https://github.com/golang/net/blob/master/LICENSE,BSD 3-Clause "New" or "Revised" License
https://github.com/golang/sync/blob/master/LICENSE,BSD 3-Clause "New" or "Revised" License
https://github.com/golang/sys/blob/master/LICENSE,BSD 3-Clause "New" or "Revised" License
https://github.com/golang/text/blob/master/LICENSE,BSD 3-Clause "New" or "Revised" License
https://github.com/golang/time/blob/master/LICENSE,BSD 3-Clause "New" or "Revised" License
https://github.com/golang/tools/blob/master/LICENSE,BSD 3-Clause "New" or "Revised" License
https://github.com/go-check/check/blob/v1/LICENSE,BSD 2-Clause "Simplified" License
https://github.com/go-inf/inf/blob/master/LICENSE,BSD 3-Clause "New" or "Revised" License
https://github.com/go-tomb/tomb/blob/v1/LICENSE,BSD 3-Clause "New" or "Revised" License
https://github.com/go-yaml/yaml/blob/v2/LICENSE,Apache License 2.0
https://github.com/kubernetes-sigs/yaml/blob/master/LICENSE,MIT License
https://github.com/kr/logfmt/blob/master/Readme,MIT License
https://github.com/golang/exp/blob/master/LICENSE,BSD 3-Clause "New" or "Revised" License
https://github.com/golang/xerrors/blob/master/LICENSE,BSD 3-Clause "New" or "Revised" License
https://github.com/googleapis/google-api-go-client/blob/master/LICENSE,BSD 3-Clause "New" or "Revised" License
https://github.com/gotestyourself/gotest.tools/blob/master/LICENSE,Apache License 2.0
https://github.com/go-check/check/blob/v1/LICENSE,BSD 2-Clause "Simplified" License
https://github.com/go-inf/inf/blob/master/LICENSE,BSD 3-Clause "New" or "Revised" License
https://github.com/go-tomb/tomb/blob/v1/LICENSE,BSD 3-Clause "New" or "Revised" License
https://github.com/go-yaml/yaml/blob/v2/LICENSE,Apache License 2.0
https://github.com/kubernetes-sigs/yaml/blob/master/LICENSE,MIT License
https://github.com/dominikh/go-tools/blob/master/LICENSE,MIT License
https://github.com/BurntSushi/xgb/blob/master/LICENSE,BSD 3-Clause "New" or "Revised" License
https://github.com/bgentry/speakeasy/blob/master/LICENSE,MIT License
https://github.com/docker/spdystream/blob/master/LICENSE,Apache License 2.0
https://github.com/dustin/go-humanize/blob/master/LICENSE,MIT License
https://github.com/globalsign/mgo/blob/master/LICENSE,BSD 2-Clause "Simplified" License
https://github.com/mxk/go-flowrate/blob/master/LICENSE,BSD 3-Clause "New" or "Revised" License
https://github.com/rcrowley/go-metrics/blob/master/LICENSE,BSD 2-Clause "Simplified" License
https://github.com/russross/blackfriday/blob/master/LICENSE.txt,BSD 2-Clause "Simplified" License
https://github.com/sergi/go-diff/blob/master/LICENSE,MIT License
https://github.com/golang/image/blob/master/LICENSE,BSD 3-Clause "New" or "Revised" License
https://github.com/golang/mobile/blob/master/LICENSE,BSD 3-Clause "New" or "Revised" License
https://github.com/golang/mod/blob/master/LICENSE,BSD 3-Clause "New" or "Revised" License
https://github.com/cznic/cc/blob/master/LICENSE,BSD 3-Clause "New" or "Revised" License
https://github.com/cznic/golex/blob/master/LICENSE,BSD 3-Clause "New" or "Revised" License
https://github.com/cznic/mathutil/blob/master/LICENSE,BSD 3-Clause "New" or "Revised" License
https://github.com/cznic/strutil/blob/master/LICENSE,BSD 3-Clause "New" or "Revised" License
https://github.com/cznic/xc/blob/master/LICENSE,BSD 3-Clause "New" or "Revised" License
https://github.com/protocolbuffers/protobuf-go/blob/master/LICENSE,BSD 3-Clause "New" or "Revised" License
https://github.com/DataDog/zstd/blob/1.x/LICENSE,BSD 2-Clause "Simplified" License
https://github.com/Huawei/gophercloud/blob/master/LICENSE,Apache License 2.0
https://github.com/Masterminds/vcs/blob/master/LICENSE.txt,MIT License
https://github.com/aybabtme/rgbterm/blob/master/LICENSE,MIT License
https://github.com/cihub/seelog/blob/master/LICENSE.txt,BSD 3-Clause "New" or "Revised" License
https://github.com/daviddengcn/go-colortext/blob/master/LICENSE,BSD 3-Clause "New" or "Revised" License
https://github.com/dnaeon/go-vcr/blob/master/LICENSE,BSD 2-Clause "Simplified" License
https://github.com/docker/go-metrics/blob/master/LICENSE,Apache License 2.0
https://github.com/emirpasic/gods/blob/master/LICENSE,BSD 2-Clause "Simplified" License
https://github.com/go-bindata/go-bindata/blob/master/LICENSE,Public Domain per Creative Commons CC0 1.0 Universal (CC0 1.0)
https://github.com/go-ldap/ldap/blob/master/LICENSE,MIT License
https://github.com/golangci/go-misc/blob/master/LICENSE,BSD 3-Clause "New" or "Revised" License
https://github.com/google/licenseclassifier/blob/master/LICENSE,Apache License 2.0
https://github.com/gotestyourself/gotest.tools/blob/main/LICENSE,Apache License 2.0
https://github.com/hashicorp/go.net/blob/master/LICENSE,BSD 3-Clause "New" or "Revised" License
https://github.com/jenkins-x/go-scm/blob/main/LICENSE,BSD 3-Clause "New" or "Revised" License
https://github.com/jmespath/go-jmespath/blob/master/LICENSE,Apache License 2.0
https://github.com/kevinburke/ssh_config/blob/master/LICENSE,MIT License
https://github.com/klauspost/pgzip/blob/master/LICENSE,MIT License
https://github.com/lib/pq/blob/master/LICENSE.md,MIT License
https://github.com/miekg/dns/blob/master/LICENSE,BSD 3-Clause "New" or "Revised" License
https://github.com/opencontainers/go-digest/blob/master/LICENSE,Apache License 2.0
https://github.com/pascaldekloe/goe/blob/master/LICENSE,Public Domain per Creative Commons CC0 1.0 Universal (CC0 1.0)
https://github.com/phayes/freeport/blob/master/LICENSE.md,BSD 3-Clause "New" or "Revised" License
https://github.com/sean-/seed/blob/master/LICENSE,MIT License
https://github.com/shirou/gopsutil/blob/master/LICENSE,BSD 3-Clause "New" or "Revised" License
https://github.com/shirou/w32/blob/master/LICENSE,BSD 3-Clause "New" or "Revised" License
https://github.com/smartystreets/assertions/blob/master/LICENSE.md,MIT License
https://github.com/smartystreets-archives/go-aws-auth/blob/master/LICENSE.md,MIT License
https://github.com/smartystreets/goconvey/blob/master/LICENSE.md,MIT License
https://github.com/smartystreets/gunit/blob/master/LICENSE.md,MIT License
https://github.com/sourcegraph/go-diff/blob/master/LICENSE,MIT License
https://github.com/src-d/gcfg/blob/v1/LICENSE,BSD 3-Clause "New" or "Revised" License
https://github.com/ulikunitz/xz/blob/master/LICENSE,BSD 3-Clause "New" or "Revised" License
https://github.com/xanzy/go-gitlab/blob/master/LICENSE,Apache License 2.0
https://github.com/xi2/xz/blob/master/LICENSE,Public Domain License
https://github.com/yvasiyarov/go-metrics/blob/master/LICENSE,BSD 2-Clause "Simplified" License
https://github.com/go-asn1-ber/asn1-ber/blob/master/LICENSE,MIT License
https://github.com/go-gcfg/gcfg/blob/v1/LICENSE,BSD 3-Clause "New" or "Revised" License
https://github.com/google/licenseclassifier/blob/main/LICENSE,Apache License 2.0
https://github.com/bazil/fuse/blob/master/LICENSE,BSD 3-Clause "New" or "Revised" License
https://github.com/pelletier/go-toml/blob/master/LICENSE,MIT License
